task_id,year,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
attempt,2010,classif.ranger,repeated_cv,16,0.8241991173244984,1000,26,107
attempt,2010,classif.ranger,repeated_cv,16,0.8229096288404174,1000,25,40
attempt,2010,classif.ranger,repeated_cv,16,0.8264215845820956,1000,23,292
attempt,2010,classif.ranger,repeated_cv,16,0.8225597757665306,1000,21,86
attempt,2010,classif.ranger,repeated_cv,16,0.8231314677442401,1000,28,55
attempt,2010,classif.ranger,repeated_cv,16,0.8234573657981893,1000,19,158
attempt,2010,classif.ranger,repeated_cv,16,0.8247126555339335,1000,20,164
attempt,2010,classif.ranger,repeated_cv,16,0.8250737349873405,1000,24,210
attempt,2010,classif.ranger,repeated_cv,16,0.8240422468871973,1000,27,76
attempt,2010,classif.ranger,repeated_cv,16,0.821376157305139,1000,11,12
attempt,2010,classif.ranger,repeated_cv,16,0.8243640827391805,1000,25,60
attempt,2010,classif.ranger,repeated_cv,16,0.8231264315825886,1000,17,146
attempt,2010,classif.ranger,repeated_cv,16,0.826541399542662,1000,25,300
attempt,2010,classif.ranger,repeated_cv,16,0.8207124595312868,1000,10,30
attempt,2010,classif.ranger,repeated_cv,16,0.8204412100218709,1000,9,181
attempt,2010,classif.ranger,repeated_cv,16,0.8242873755061662,1000,20,188
attempt,2010,classif.ranger,repeated_cv,16,0.8215874101570357,1000,14,92
attempt,2010,classif.ranger,repeated_cv,16,0.8215616115162567,1000,13,109
attempt,2010,classif.ranger,repeated_cv,16,0.8244536580459528,1000,19,188
attempt,2010,classif.ranger,repeated_cv,16,0.8226338037575359,1000,20,76
